"","turnover_count","x","y","play_pattern.name","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.name","match_id","position_group"
"181",0,82.4,74.1,"Regular Play",8.895504,10.43561,37.58339,"Recovery",-0.1466665,0,1,0,0,1,1,0,"Player_4620",3764295,"FB"
"182",0,88.9,72.2,"Regular Play",7.769813,15.27362,-36.42935,"",-2.585722,1,1,1,0,1,1,1,"Player_3720",3764295,"WG"
"183",0,82.6,66.7,"Regular Play",15.68184,15.258,34.0742,"",-0.658806,0,1,1,0,1,1,0,"Player_3583",3764295,"DM"
"184",0,106.1,44.6,"Regular Play",5.614268,8.349098,-3.397291,"",-3.070285,1,0,2,0,0,0,1,"Player_3661",3764295,"ST"
"185",0,70.5,22.4,"Regular Play",8.930845,7.381315,-6.079551,"Recovery",-0.9765826,0,1,0,1,1,0,1,"Player_3583",3764295,"DM"
"186",0,75.5,15,"Regular Play",11.456,6.262452,12.41673,"",0.2830958,0,0,2,1,1,0,1,"Player_10967",3764295,"WG"
"187",1,86.5,18.2,"Regular Play",4.438468,12.2785,5.948099,"",1.963854,0,1,2,1,1,0,1,"Player_3505",3764295,"ST"
"188",0,40.5,58.1,"Regular Play",10.46566,6.218155,15.04895,"Recovery",0.4764674,1,0,4,0,1,0,1,"Player_3381",3764295,"DM"
"189",0,48.8,63.9,"Regular Play",40.94447,11.35684,72.23378,"",0.1298078,0,2,1,0,1,1,1,"Player_5204",3764295,"AM"
"190",1,11.8,11.9,"Regular Play",2.061553,24.72835,1.105323,"",-0.3985224,0,1,1,1,1,0,1,"Player_9607",3764295,"DM"
"191",1,31.2,3.1,"From Throw In",11.00227,3.612217,9.486684,"",0.192048,1,1,4,1,1,0,1,"Player_3661",3764295,"ST"
"192",1,78.1,74.9,"From Throw In",6.403124,8.441213,17.25609,"Recovery",-0.8960554,0,0,1,0,1,1,1,"Player_3690",3764295,"FB"
"193",0,75.6,65.6,"Regular Play",23.46103,23.65806,34.26908,"Recovery",-0.6341237,1,1,3,1,1,0,1,"Player_3381",3764295,"DM"
"194",0,50.6,53.4,"Regular Play",7.843469,8.485333,13.87906,"",0.3378782,4,0,10,1,1,1,1,"Player_20004",3764295,"DM"
"195",0,50.6,53.4,"Regular Play",7.843469,8.485333,13.87906,"",0.3378782,4,0,10,1,1,1,1,"Player_20004",3764295,"DM"
"196",0,58,56,"Regular Play",6.300794,4.477142,2.602937,"",1.554925,0,2,3,1,1,0,1,"Player_4319",3764295,"ST"
"197",1,57.5,62.9,"Regular Play",31.87507,8.470082,50.09671,"",0.566248,1,0,5,1,0,1,1,"Player_5204",3764295,"AM"
"198",0,27.6,5.4,"From Throw In",48.97367,21.02572,42.44593,"",0.2920435,1,0,1,1,1,0,0,"Player_3663",3764295,"CB"
"199",0,74.5,19.5,"From Throw In",6.621178,7.681368,5.761722,"",2.007423,0,1,3,0,1,0,1,"Player_3505",3764295,"ST"
"200",1,72.7,27.5,"From Throw In",40.36558,10.87743,6.627977,"",-0.1818477,1,0,4,0,1,1,1,"Player_3583",3764295,"DM"
"201",1,111.1,54.3,"From Corner",19.67359,11.65503,-128.0595,"Recovery",-1.484278,1,0,3,0,1,1,1,"Player_4620",3764295,"FB"
"202",0,104.7,30.2,"From Corner",5.408327,2.793465,-13.62438,"Recovery",-1.910089,2,2,6,1,0,1,1,"Player_9607",3764295,"DM"
"203",1,103,25.1,"From Corner",5.385165,7.029553,10.80002,"",1.024007,1,1,5,1,0,1,1,"Player_3663",3764295,"CB"
"204",0,84.3,32.2,"From Corner",11.38112,6.4335,24.33586,"Recovery",0.6294423,0,1,0,0,1,0,1,"Player_3720",3764295,"WG"
"205",0,93.5,38.9,"From Corner",7.452516,15.93988,10.77726,"",0.2026587,1,1,4,0,1,1,1,"Player_3628",3764295,"CB"
"206",1,100.8,40.4,"From Corner",8.720092,7.710856,-23.9873,"",-0.9318823,1,2,3,0,0,0,1,"Player_3661",3764295,"ST"
"207",1,38.3,28.8,"From Goal Kick",25.10339,12.3505,30.63223,"Recovery",0.2536741,0,1,1,0,1,1,1,"Player_3663",3764295,"CB"
"208",0,57.5,45,"From Goal Kick",17.7519,12.8003,30.55854,"Recovery",0.8053159,1,0,3,0,1,0,1,"Player_20004",3764295,"DM"
"209",0,69.8,57.8,"From Goal Kick",10.25329,8.003856,-15.96538,"",2.349298,0,2,1,0,1,1,1,"Player_5204",3764295,"AM"
"210",0,77.9,4.9,"From Goal Kick",5.787055,11.90429,-5.758174,"",-2.825306,1,1,1,1,0,0,1,"Player_3661",3764295,"ST"
"211",1,72.4,3.1,"From Goal Kick",19.05387,15.71442,24.64189,"",1.407373,1,0,3,1,0,0,1,"Player_10967",3764295,"WG"
"212",0,49.8,57.4,"From Goal Kick",6.191123,9.9991,10.25258,"",0.5431896,1,1,1,0,1,1,1,"Player_3381",3764295,"DM"
"213",0,65.4,68.7,"From Goal Kick",11.1018,11.00823,-11.16317,"",-1.872607,1,0,4,0,0,1,1,"Player_3318",3764295,"WG"
"214",0,62.1,58.1,"From Goal Kick",17.53767,11.31408,18.22502,"",1.135202,1,1,3,1,1,1,1,"Player_3381",3764295,"DM"
"215",0,77.4,76.3,"From Goal Kick",11.08603,10.3994,-10.20794,"",-1.949628,0,0,2,0,1,1,1,"Player_3690",3764295,"FB"
"216",0,76.7,63.7,"From Goal Kick",60.50008,17.40479,-134.7052,"",-1.429834,1,0,2,0,1,1,1,"Player_3381",3764295,"DM"
"217",0,85.2,3.8,"From Goal Kick",8.811924,6.77362,1.562044,"",2.657643,0,1,0,1,1,0,1,"Player_3382",3764295,"FB"
"218",0,77.7,11.1,"From Goal Kick",14.66697,10.54717,-10.18873,"",3.045994,1,0,2,1,1,1,0,"Player_20004",3764295,"DM"
"219",0,62.9,17,"From Goal Kick",8.080223,7.788459,-3.639461,"",-0.9347208,0,1,0,1,1,1,1,"Player_3336",3764295,"CB"
"220",1,33.2,55.5,"From Goal Kick",60.85992,16.8385,74.2553,"Recovery",-0.04437874,0,1,0,1,1,1,1,"Player_3628",3764295,"CB"
"221",0,26.1,27.3,"From Goal Kick",12.31666,7.101536,-9.099083,"Recovery",-1.758638,1,0,1,0,1,1,1,"Player_3324",3764295,"CB"
"222",0,23.8,15.2,"From Goal Kick",23.5841,12.73983,-10.3656,"",2.479434,1,0,1,0,0,0,1,"Player_3336",3764295,"CB"
"223",0,35.7,39.7,"From Goal Kick",30.41989,12.88979,8.848226,"",1.534628,0,1,0,1,1,1,1,"Player_3381",3764295,"DM"
"224",0,36.8,70.1,"From Goal Kick",21.42382,13.91446,26.41134,"",0.4490349,0,0,0,1,1,1,0,"Player_3324",3764295,"CB"
"225",0,56.1,79.4,"From Goal Kick",8.360024,6.587333,-15.78633,"",-3.021689,0,0,1,0,1,1,1,"Player_3318",3764295,"WG"
"226",0,46.8,78.4,"From Goal Kick",23.34138,13.83368,-26.15252,"",-2.331957,0,1,0,0,1,1,0,"Player_3690",3764295,"FB"
"227",0,31.2,59.6,"From Goal Kick",20.90287,13.24558,18.62508,"",0.8497161,0,0,1,1,1,1,1,"Player_3324",3764295,"CB"
"228",0,46.4,59.1,"From Goal Kick",8.704596,9.888811,-11.84002,"",-2.315567,0,1,2,1,1,1,1,"Player_3690",3764295,"FB"
"229",0,43.6,49.9,"From Goal Kick",48.8083,19.89876,-11.24711,"",-1.056733,0,0,2,1,1,1,1,"Player_20004",3764295,"DM"
"230",1,98,23.2,"From Goal Kick",8.229216,25.69494,9.133897,"",0.4527785,0,1,4,1,1,1,1,"Player_5204",3764295,"AM"
"231",0,107.4,11,"From Corner",12.00375,8.912912,-1.837178,"",-3.116598,0,2,0,1,1,0,1,"Player_5204",3764295,"AM"
"232",1,97.2,51.3,"From Corner",24.78911,15.46257,-96.72128,"",-0.8424789,0,2,2,1,1,1,1,"Player_3381",3764295,"DM"
"233",0,106.4,24.4,"From Corner",10.66771,6.318419,-4.842497,"Recovery",-3.028865,1,0,3,1,1,0,1,"Player_3318",3764295,"WG"
"234",0,35,78.5,"From Throw In",14.84857,18.04626,20.91625,"",-0.0809041,0,0,2,0,1,1,1,"Player_3690",3764295,"FB"
"235",0,44,12.5,"From Throw In",26.52169,12.55649,6.871642,"",1.933097,0,1,0,1,1,0,1,"Player_3382",3764295,"FB"
"236",0,35.3,37.9,"From Throw In",26.50887,11.59259,11.22214,"",1.480136,0,0,1,1,1,1,1,"Player_3381",3764295,"DM"
"237",0,51.9,65.1,"From Throw In",19.69467,20.65113,28.87821,"",0.6049024,1,0,2,1,1,1,0,"Player_3324",3764295,"CB"
"238",0,77,57.4,"From Throw In",17.62044,19.25578,-11.02989,"",-1.112225,0,1,1,1,1,1,0,"Player_3318",3764295,"WG"
"239",0,84.8,41.6,"From Throw In",10.16366,9.067937,-29.914,"",-1.986024,0,2,2,1,1,1,1,"Player_5204",3764295,"AM"
"240",0,80.7,32.3,"From Throw In",13.64734,12.56724,-10.20999,"",-0.7802169,0,0,1,1,1,1,0,"Player_3318",3764295,"WG"
"241",1,98.5,22.7,"From Throw In",4.08534,9.169082,8.661488,"",1.194835,0,0,2,1,1,1,1,"Player_20039",3764295,"WG"
"242",1,18.3,53.6,"From Throw In",32.20248,12.12578,33.89135,"",0.4775356,1,1,2,0,0,1,1,"Player_3583",3764295,"DM"
"243",0,87,22.5,"From Throw In",20.02124,19.36608,33.35561,"",1.680902,0,0,3,0,1,1,1,"Player_3336",3764295,"CB"
"244",1,90.8,58.8,"From Throw In",35.91379,21.41455,-136.7931,"",-1.019871,0,1,1,1,1,1,1,"Player_20004",3764295,"DM"
"245",0,83.8,35.7,"From Throw In",19.64612,14.08417,-41.77713,"",-1.412342,0,0,2,1,1,1,1,"Player_20004",3764295,"DM"
"246",0,90.4,20.7,"From Throw In",36.3886,16.78781,63.58738,"",0.9789828,0,1,1,1,1,1,0,"Player_5204",3764295,"AM"
"247",0,110.7,50.9,"From Throw In",9.525755,11.36926,-51.7843,"",-1.497245,1,1,2,0,0,0,1,"Player_20004",3764295,"DM"
"248",1,120,57.4,"From Corner",9.8,8.462414,-37.85941,"",-1.570796,1,0,1,0,0,0,1,"Player_3336",3764295,"CB"
"249",0,13.5,45.2,"Regular Play",12.45311,5.435735,8.651239,"Recovery",1.049658,1,0,4,0,1,1,1,"Player_3690",3764295,"FB"
"250",0,28.8,67.1,"Regular Play",17.0423,9.575219,17.2498,"",0.6270707,0,0,1,0,1,1,1,"Player_3318",3764295,"WG"
"251",0,46,74.7,"From Throw In",38.49493,17.07817,-20.8118,"",-1.714163,0,1,0,0,1,1,1,"Player_20004",3764295,"DM"
"252",0,60.4,22.5,"From Throw In",22.54107,18.40322,-10.69744,"",-0.9175351,0,1,1,1,1,1,1,"Player_3336",3764295,"CB"
"253",0,73.6,7,"From Throw In",31.64949,10.28463,1.163675,"",2.407603,1,0,1,1,1,0,0,"Player_3382",3764295,"FB"
"254",0,63.1,44.4,"From Throw In",33.34861,17.90982,14.20834,"",1.516795,1,1,3,1,1,1,1,"Player_3381",3764295,"DM"
"255",0,77.7,78,"From Throw In",6.736468,5.418181,-21.23935,"",-3.037493,0,1,1,0,1,1,1,"Player_3318",3764295,"WG"
"256",0,70.8,77.7,"From Throw In",8.547514,9.093865,6.265625,"",-1.465307,1,0,1,0,1,1,0,"Player_3690",3764295,"FB"
"257",0,84.4,74.5,"From Throw In",21.6601,19.76555,25.31185,"",-1.069976,0,1,2,1,1,1,1,"Player_3381",3764295,"DM"
"258",1,94.5,56.3,"From Throw In",2.941088,22.67014,-8.981988,"",2.830594,0,3,1,1,1,1,1,"Player_4319",3764295,"ST"
"259",0,94.4,35.1,"From Throw In",11.89664,9.14502,-27.1013,"Recovery",-1.118426,0,1,4,1,1,1,1,"Player_20039",3764295,"WG"
"260",1,99.6,24.4,"From Throw In",38.28733,21.35195,57.38969,"",1.008875,1,0,3,1,1,0,1,"Player_5204",3764295,"AM"
"261",1,67.8,25,"From Goal Kick",15.34568,6.285039,26.85291,"",0.7715741,1,1,4,1,1,1,1,"Player_3661",3764295,"ST"
"262",0,65.5,45.4,"Regular Play",9.025519,6.017859,5.010078,"Interception",1.737766,0,0,1,0,1,1,1,"Player_9607",3764295,"DM"
"263",0,75.4,47.4,"Regular Play",10.15332,15.51974,26.76848,"",0.876058,1,1,3,0,1,1,1,"Player_3720",3764295,"WG"
"264",0,81.9,55.2,"Regular Play",8.881441,6.686704,-28.52918,"",3.006065,1,1,3,0,1,1,1,"Player_3505",3764295,"ST"
"265",0,64.8,46.7,"Regular Play",15.18321,10.01385,-26.657,"",2.888627,1,0,2,0,1,1,0,"Player_9607",3764295,"DM"
"266",0,48.9,50.5,"Regular Play",37.83186,19.87789,47.10027,"",0.7947437,0,0,1,0,1,1,0,"Player_3628",3764295,"CB"
"267",1,75.4,77.5,"Regular Play",12.06027,6.497676,38.75969,"",-0.2771607,0,0,0,0,1,1,1,"Player_4620",3764295,"FB"
"268",0,33.1,5.9,"Regular Play",14.60308,10.78717,10.82875,"Recovery",-0.02054505,0,0,2,1,1,0,1,"Player_3382",3764295,"FB"
